date,reference,country,title,author,is_gov,word_count,Body,central_bank,year,language,vader_polarity,lm_polarity,finbert_polarity
15/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
16/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
17/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
18/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
19/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
20/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
21/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
22/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
23/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
24/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
25/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
26/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
27/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
28/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
29/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
30/09/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
01/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
02/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
03/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
04/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
05/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
06/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
07/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
08/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
09/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
10/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
11/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
12/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
13/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
14/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
15/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
16/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
17/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
18/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
19/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
20/10/1998,r980915a_BOE,United Kingdom,Speech,George,FALSE,2387,BOE,Bank of England,1998,en,0.9968,-0.418181814,-0.26921195
21/10/1998,r981021b_BOE,United Kingdom,Britain in Europe,George,FALSE,4045,BOE,Bank of England,1998,en,0.9999,-0.1005291,0.33105594
21/10/1998,r981021a_BOE,United Kingdom,Impact of the recent turbulence in international financial markets on the UK economy,King,TRUE,2311,BOE,Bank of England,1998,en,0.9982,-0.372549016,-0.63845426
22/10/1998,r981021a_BOE,United Kingdom,Impact of the recent turbulence in international financial markets on the UK economy,King,TRUE,2311,BOE,Bank of England,1998,en,0.9982,-0.372549016,-0.63845426
23/10/1998,r981021a_BOE,United Kingdom,Impact of the recent turbulence in international financial markets on the UK economy,King,TRUE,2311,BOE,Bank of England,1998,en,0.9982,-0.372549016,-0.63845426
